OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
952,GO-2018907125,2018-05-20 04:00:00,2018,May,20,Sunday,140,D43,Shooting,135,Morningside (135),135,Morningside (135),-79.21617966223944,43.775416907380595
953,GO-2018929488,2018-05-23 04:00:00,2018,May,23,Wednesday,143,D14,Stabbing,095,Annex (95),095,Annex (95),-79.40529133977932,43.67030781395319
954,GO-2018946587,2018-05-25 04:00:00,2018,May,25,Friday,145,D54,Other,057,Broadview North (57),057,Broadview North (57),-79.35133231686225,43.69197460413465
955,GO-2018945776,2018-05-25 04:00:00,2018,May,25,Friday,145,D55,Stabbing,062,East End-Danforth (62),062,East End-Danforth (62),-79.30115804677132,43.678153828084824
956,GO-2018958547,2018-05-28 04:00:00,2018,May,28,Monday,148,D42,Shooting,145,Malvern West (145),132,Malvern (132),-79.2242167744943,43.80448840043371
957,GO-2018965463,2018-05-28 04:00:00,2018,May,28,Monday,148,D53,Shooting,095,Annex (95),095,Annex (95),-79.39017934778157,43.671360411748815
958,GO-2018979942,2018-05-30 04:00:00,2018,May,30,Wednesday,150,D52,Shooting,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.38091294638609,43.656324795428525
959,GO-20181021340,2018-06-05 04:00:00,2018,June,5,Tuesday,156,D22,Shooting,018,New Toronto (18),018,New Toronto (18),-79.50933426837337,43.6026043262879
960,GO-20181046556,2018-06-09 04:00:00,2018,June,9,Saturday,160,D11,Stabbing,084,Little Portugal (84),084,Little Portugal (84),-79.43285402238071,43.64782039509791
961,GO-20181066328,2018-06-09 04:00:00,2018,June,9,Saturday,160,D14,Other,162,West Queen West (162),082,Niagara (82),-79.40958633013652,43.645291787354864
962,GO-20181075301,2018-06-13 04:00:00,2018,June,13,Wednesday,164,D11,Other,086,Roncesvalles (86),086,Roncesvalles (86),-79.43535502154705,43.64419789230901
963,GO-20181091522,2018-06-16 04:00:00,2018,June,16,Saturday,167,D41,Stabbing,123,Cliffcrest (123),123,Cliffcrest (123),-79.2491653183274,43.71919109685428
964,GO-20181106259,2018-06-18 04:00:00,2018,June,18,Monday,169,D53,Other,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),-79.38419105054933,43.67080371004932
965,GO-20181142174,2018-06-23 04:00:00,2018,June,23,Saturday,174,D23,Stabbing,002,Mount Olive-Silverstone-Jamestown (2),002,Mount Olive-Silverstone-Jamestown (2),-79.59035756728133,43.734002479106266
966,GO-20181146418,2018-06-24 04:00:00,2018,June,24,Sunday,175,D23,Shooting,003,Thistletown-Beaumond Heights (3),003,Thistletown-Beaumond Heights (3),-79.5764138735262,43.73846957375374
967,GO-20181146418,2018-06-24 04:00:00,2018,June,24,Sunday,175,D23,Shooting,003,Thistletown-Beaumond Heights (3),003,Thistletown-Beaumond Heights (3),-79.5764138735262,43.73846957375374
968,GO-20181146367,2018-06-24 04:00:00,2018,June,24,Sunday,175,D32,Shooting,032,Englemount-Lawrence (32),032,Englemount-Lawrence (32),-79.44387484181597,43.719490656610084
969,GO-20181152121,2018-06-25 04:00:00,2018,June,25,Monday,176,D51,Shooting,073,Moss Park (73),073,Moss Park (73),-79.37100285365003,43.65829659740034
970,GO-20181191880,2018-06-30 04:00:00,2018,June,30,Saturday,181,D52,Shooting,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.39364443739493,43.649318288421924
971,GO-20181191880,2018-06-30 04:00:00,2018,June,30,Saturday,181,D52,Shooting,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.39364443739493,43.649318288421924
972,GO-20181194072,2018-07-01 04:00:00,2018,July,1,Sunday,182,D55,Stabbing,065,Greenwood-Coxwell (65),065,Greenwood-Coxwell (65),-79.33236832170581,43.68147619661608
973,GO-20181198918,2018-07-01 04:00:00,2018,July,1,Sunday,182,D14,Shooting,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.40232983429784,43.65522989636559
974,GO-20181221507,2018-07-05 04:00:00,2018,July,5,Thursday,186,D41,Other,120,Clairlea-Birchmount (120),120,Clairlea-Birchmount (120),-79.28855526896203,43.70437340416724
975,GO-20181240749,2018-07-08 04:00:00,2018,July,8,Sunday,189,D31,Shooting,024,Black Creek (24),024,Black Creek (24),-79.51473051613645,43.76721268870932
